,Date,% in %
290,2019-03,42.4
291,2019-04,62.2
292,2019-05,70.6
293,2019-06,75.3
294,2019-07,74.8
295,2019-08,75.7
296,2019-09,72.7
297,2019-10,71.6
298,2019-11,65.1
299,2019-12,57.9
300,2020-01,54.0
301,2020-02,49.4
302,2020-03,58.1
303,2020-04,64.0
304,2020-05,72.1
305,2020-06,75.4
306,2020-07,76.3
307,2020-08,76.2
308,2020-09,74.3
309,2020-10,72.9
310,2020-11,58.4
311,2020-12,48.0
312,2021-01,54.0
313,2021-02,49.4
314,2021-03,58.1
315,2021-04,64.0
316,2021-05,72.1
317,2021-06,75.4
318,2021-07,76.3
319,2021-08,76.2
320,2021-09,74.3
321,2021-10,72.9
322,2021-11,58.4
323,2021-12,48.0
324,2022-01,39.6
325,2022-02,39.5
326,2022-03,44.8
327,2022-04,61.0
328,2022-05,67.3
329,2022-06,68.8
330,2022-07,70.2
331,2022-08,73.2
332,2022-09,70.5
333,2022-10,71.0
334,2022-11,57.6
335,2022-12,48.0
336,2023-01,37.3
337,2023-02,33.7
338,2023-03,56.5
339,2023-04,62.9
340,2023-05,71.0
341,2023-06,69.8
342,2023-07,71.5
343,2023-08,68.7
344,2023-09,74.3
345,2023-10,71.9
346,2023-11,60.3
347,2023-12,49.4
